league,season,team,player,nation,pos,age,mp,starts,minutes,nineties,goals,assists,non_pen_goals,pens_scored,pens_attempted,yellow_cards,red_cards,per90_goals,per90_assists,per90_non_pen_goals,shots,sot,per90_shots,per90_sot,sot_pct,tackles_won,interceptions,pens_won,pens_conceded,fouls_committed,fouls_drawn,own_goals,per90_tackles_won,per90_interceptions,per90_pens_won,per90_pens_conceded
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,28-231,12,9,702,7.8,0,1,0,0,0,0,0,0.0,0.13,0.0,5,1,0.64,0.13,20.0,9,9,,,5,6,0,1.153846153846154,1.153846153846154,,
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",24-264,31,25,2222,24.7,7,5,6,1,1,2,0,0.28,0.2,0.24,71,27,2.88,1.09,38.0,19,16,,,33,54,0,0.7692307692307693,0.6477732793522267,,
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,32-078,7,1,106,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,1.7,0.85,50.0,2,1,,,3,0,0,1.6666666666666667,0.8333333333333334,,
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21-334,20,9,994,11.0,0,0,0,0,0,4,0,0.0,0.0,0.0,1,0,0.09,0.0,0.0,21,8,,,17,7,0,1.9090909090909092,0.7272727272727273,,
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,30-254,37,37,3330,37.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,,1,1,,,0,14,0,0.02702702702702703,0.02702702702702703,,
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,27-133,36,35,3094,34.4,4,5,4,0,0,3,0,0.12,0.15,0.12,40,13,1.16,0.38,32.5,33,33,,,26,11,0,0.9593023255813954,0.9593023255813954,,
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27-332,32,21,1812,20.1,7,2,7,0,0,1,0,0.35,0.1,0.35,57,18,2.83,0.89,31.6,13,11,,,14,38,0,0.6467661691542288,0.5472636815920398,,
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,19-067,6,0,171,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,6,0,3.16,0.0,0.0,0,0,,,2,0,0,0.0,0.0,,
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,29-054,14,3,429,4.8,3,0,3,0,0,3,0,0.63,0.0,0.63,19,12,3.99,2.52,63.2,0,2,,,9,1,0,0.0,0.4166666666666667,,
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,28-159,32,30,2751,30.6,3,4,3,0,0,4,0,0.1,0.13,0.1,27,7,0.88,0.23,25.9,20,22,,,21,34,0,0.6535947712418301,0.7189542483660131,,
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,BRA,"FW,MF",24-343,30,11,1081,12.0,1,4,1,0,0,3,0,0.08,0.33,0.08,29,13,2.41,1.08,44.8,8,1,,,10,14,0,0.6666666666666666,0.08333333333333333,,
ENG-Premier League,2526,Arsenal,Jurriën Timber,NED,DF,24-344,30,28,2454,27.3,3,5,3,0,0,5,0,0.11,0.18,0.11,25,7,0.92,0.26,28.0,35,24,,,38,29,0,1.282051282051282,0.8791208791208791,,
