league,season,team,player,nation,pos,age,mp,starts,minutes,nineties,goals_against,ga_per90,shots_on_target_against,saves,save_pct,clean_sheets,cs_pct,pks_faced,pks_allowed,pen_saves,pks_missed_by_opp,per90_saves,per90_cs
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,30-254,37,37,3330,37.0,26,0.7,86,59,69.8,19,51.4,0,0,0,0,1.5945945945945945,0.5135135135135135
ENG-Premier League,2526,Arsenal,Kepa Arrizabalaga,ESP,GK,31-236,1,1,90,1.0,1,1.0,3,2,66.7,0,0.0,0,0,0,0,2.0,0.0
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,33-267,32,32,2835,31.5,39,1.24,133,95,70.7,8,25.0,1,0,1,0,3.015873015873016,0.25396825396825395
ENG-Premier League,2526,Aston Villa,Marco Bizot,NED,GK,35-078,7,6,585,6.5,10,1.54,28,19,67.9,2,33.3,1,1,0,0,2.923076923076923,0.3076923076923077
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,SRB,GK,26-231,38,38,3420,38.0,54,1.42,157,109,69.4,11,28.9,6,6,0,0,2.8684210526315788,0.2894736842105263
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,IRL,GK,27-185,37,37,3330,37.0,49,1.32,146,105,69.9,10,27.0,8,5,3,0,2.8378378378378377,0.2702702702702703
ENG-Premier League,2526,Brentford,Hákon Valdimarsson,ISL,GK,24-226,1,1,90,1.0,3,3.0,4,1,25.0,0,0.0,0,0,0,0,1.0,0.0
ENG-Premier League,2526,Brighton,Bart Verbruggen,NED,GK,23-282,38,38,3420,38.0,46,1.21,145,103,71.7,10,26.3,6,5,1,0,2.710526315789474,0.2631578947368421
ENG-Premier League,2526,Burnley,Martin Dúbravka,SVK,GK,37-132,35,35,3150,35.0,71,2.03,192,127,66.1,4,11.4,7,6,0,1,3.6285714285714286,0.11428571428571428
ENG-Premier League,2526,Burnley,Max Weiß,GER,GK,21-346,3,3,270,3.0,4,1.33,13,10,76.9,0,0.0,1,1,0,0,3.3333333333333335,0.0
ENG-Premier League,2526,Chelsea,Filip Jørgensen,DEN,GK,24-041,5,3,379,4.2,5,1.19,13,8,61.5,0,0.0,0,0,0,0,1.9047619047619047,0.0
ENG-Premier League,2526,Chelsea,Robert Sánchez,ESP,GK,28-190,35,35,3039,33.8,49,1.45,145,97,67.6,9,25.7,2,2,0,0,2.869822485207101,0.26627218934911245
ENG-Premier League,2526,Crystal Palace,Dean Henderson,ENG,GK,29-076,37,37,3330,37.0,51,1.38,150,104,69.3,11,29.7,6,5,1,0,2.810810810810811,0.2972972972972973
ENG-Premier League,2526,Crystal Palace,Walter Benítez,ARG,GK,33-128,1,1,90,1.0,0,0.0,3,3,100.0,1,100.0,1,0,0,1,3.0,1.0
ENG-Premier League,2526,Everton,Jordan Pickford,ENG,GK,32-081,38,38,3420,38.0,50,1.32,145,99,67.6,11,28.9,4,3,1,0,2.6052631578947367,0.2894736842105263
ENG-Premier League,2526,Fulham,Bernd Leno,GER,GK,34-084,38,38,3420,38.0,51,1.34,146,98,67.1,9,23.7,4,3,0,1,2.5789473684210527,0.23684210526315788
