player,team,position,matches_played,goals,assists,minutes,final_fantasy_points
Lionel Messi,Argentina,MID,7,7,3,690,108
Kylian Mbappe,France,FWD,7,8,2,654,103
Antoine Griezmann,France,MID,7,1,3,627,72
Julian Alvarez,Argentina,FWD,6,4,0,455,68
Olivier Giroud,France,FWD,6,4,0,503,62
Bruno Fernandes,Portugal,MID,5,2,3,395,58
Marcus Rashford,England,FWD,5,3,0,224,52
Cody Gakpo,Netherlands,FWD,5,3,0,447,51
Goncalo Ramos,Portugal,FWD,3,3,1,150,49
Bukayo Saka,England,MID,5,3,0,442,48
Theo Hernandez,France,DEF,7,1,2,540,46
Enzo Fernandez,Argentina,MID,7,1,1,591,45
Richarlison,Brazil,FWD,5,3,0,407,42
Neymar,Brazil,FWD,5,2,1,450,42
Ivan Perisic,Croatia,MID,7,1,3,567,41
Aurelien Tchouameni,France,MID,7,0,1,613,40
Achraf Hakimi,Morocco,DEF,7,0,1,630,40
Jamal Musiala,Germany,MID,3,0,2,238,38
Andrej Kramaric,Croatia,FWD,7,2,1,470,38
Mehdi Taremi,Iran,FWD,3,2,0,265,38
Vincent Aboubakar,Cameroon,FWD,3,2,1,180,37
Cody Gakpo,Netherlands,FWD,5,3,0,447,37
Lautaro Martinez,Argentina,FWD,7,1,1,489,36
Andrew Robertson,Scotland,DEF,3,0,0,270,18
Phil Foden,England,MID,4,1,2,232,36
Jude Bellingham,England,MID,5,1,1,438,35
Mateo Kovacic,Croatia,MID,7,0,0,604,34
Luka Modric,Croatia,MID,7,0,1,553,34
Hakim Ziyech,Morocco,MID,7,1,1,549,33
Cristiano Ronaldo,Portugal,FWD,5,1,0,283,32
Harry Kane,England,FWD,5,2,1,450,32
Dominik Livakovic,Croatia,GK,7,0,0,810,46
Emiliano Martinez,Argentina,GK,7,0,0,750,42
Yassine Bounou,Morocco,GK,6,0,0,630,40
Hugo Lloris,France,GK,7,0,0,720,32
Ederson,Brazil,GK,5,0,0,450,28
Jordan Pickford,England,GK,5,0,0,495,28
Nahuel Molina,Argentina,DEF,7,1,1,613,38
Cristian Romero,Argentina,DEF,7,0,0,640,32
Nicolas Otamendi,Argentina,DEF,7,1,0,690,38
Raphael Varane,France,DEF,7,0,0,594,30
Jules Kounde,France,DEF,7,0,0,648,28
Marquinhos,Brazil,DEF,5,1,0,450,32
Eder Militao,Brazil,DEF,5,0,0,450,26
Joshua Kimmich,Germany,MID,3,0,1,270,21
Cody Gakpo,Netherlands,FWD,5,3,0,447,37
Romain Saiss,Morocco,DEF,5,0,0,450,26
Sofyan Amrabat,Morocco,MID,7,0,0,604,30
Youssef En-Nesyri,Morocco,FWD,7,1,0,529,28
Davy Klaassen,Netherlands,MID,5,1,1,156,26
Memphis Depay,Netherlands,FWD,5,0,1,343,22
Vincent Aboubakar,Cameroon,FWD,3,2,1,180,37
Aboubakar Kamara,Mauritania,FWD,0,0,0,0,0
Salem Al-Dawsari,Saudi Arabia,MID,3,1,0,270,15
Wout Weghorst,Netherlands,FWD,5,2,0,140,30
Josko Gvardiol,Croatia,DEF,7,1,0,630,38
