fifa_name,fifa_team,fifa_position,fifa_price,fbref_candidate,fbref_club,score
Marco Pasalic,Croatia,FWD,5.3,Mario Pašalić,Atalanta,92
Lucas Martínez Quarta,Argentina,DEF,4.3,Lucas Boyé,Alavés,85
Juan Fernando Quintero,Colombia,MID,5.6,Juan Cuadrado,Pisa,85
João Félix,Portugal,FWD,6.5,João Mário Lopes,Bologna,85
Irfan Can Kahveci,Turkiye,MID,5.9,Can Uzun,Eintracht Frankfurt,85
Juan Manuel Sanabria,Uruguay,MID,4.5,Manuel Ugarte,Manchester Utd,85
Alex Sandro,Brazil,DEF,4.5,Alexsandro Ribeiro,Lille,85
Alexander Bernhardsson,Sweden,FWD,4.9,Alexander Isak,Liverpool,85
Bara Sapoko Ndiaye,Senegal,MID,4.5,Bara Ndiaye,Bayern Munich,85
Abdul Baba,Ghana,DEF,3.9,Salis Abdul Samed,Nice,85
