fifa_name,fifa_team,fifa_position,reason,best_candidate,fbref_club
Mehdi Dorval,Algeria,DEF,best score 60 < 85,Mehdi Léris,Pisa
Zinéddine Belaïd,Algeria,DEF,best score 52 < 85,Badredine Bouanani,Nice
Sohaib Nair,Algeria,DEF,best score 52 < 85,Fares Chaïbi,Eintracht Frankfurt
Achref Abada,Algeria,DEF,best score 55 < 85,Abde Rebbach,Alavés
Riyad Mahrez,Algeria,MID,best score 53 < 85,Rachid Ghezzal,Lyon
Anis Hadj Moussa,Algeria,FWD,best score 55 < 85,Yanis Zouaoui,Le Havre
Farès Ghedjemis,Algeria,FWD,best score 59 < 85,Fares Chaïbi,Eintracht Frankfurt
Ahmed Benbouali,Algeria,FWD,best score 60 < 85,Ramy Bensebaini,Dortmund
Amin Chiakha,Algeria,FWD,best score 56 < 85,Samir Chergui,Paris FC
Adil Boulbina,Algeria,MID,best score 58 < 85,Badredine Bouanani,Nice
Yacine Titraoui,Algeria,MID,best score 60 < 85,Rayan Aït-Nouri,Manchester City
Ramiz Zerrouki,Algeria,MID,best score 59 < 85,Samir Chergui,Paris FC
Adil Aouchiche,Algeria,MID,best score 52 < 85,Hicham Boudaoui,Nice
Houssem Aouar,Algeria,MID,best score 51 < 85,Mohamed Amoura,Wolfsburg
Nicolás Otamendi,Argentina,DEF,best score 73 < 85,Nicolás Paz,Como
Marcos Acuña,Argentina,DEF,best score 64 < 85,Marcos Senesi,Bournemouth
Gabriel Rojas,Argentina,DEF,best score 46 < 85,Nahuel Molina,Atlético Madrid
Agustín Giay,Argentina,DEF,best score 56 < 85,Martín Payero,Cremonese
Lionel Messi,Argentina,FWD,best score 50 < 85,Giovani Lo Celso,Real Betis
Gianluca Prestianni,Argentina,MID,best score 56 < 85,Lucas Beltrán,Valencia
José Manuel López,Argentina,FWD,best score 55 < 85,Nahuel Estévez,Parma
Leandro Paredes,Argentina,MID,best score 62 < 85,Lisandro Martínez,Manchester Utd
Rodrigo De Paul,Argentina,MID,best score 50 < 85,Guido Rodríguez,West Ham United
Nico Paz,Argentina,MID,best score 84 < 85,Nicolás Paz,Como
Jordan Bos,Australia,DEF,best score 36 < 85,Mathew Ryan,Levante
Kye Rowles,Australia,DEF,best score 38 < 85,Alessandro Circati,Parma
Cameron Burgess,Australia,DEF,best score 41 < 85,Jackson Irvine,St Pauli
Milos Degenek,Australia,DEF,best score 29 < 85,Jackson Irvine,St Pauli
Aziz Behich,Australia,DEF,best score 32 < 85,Alessandro Circati,Parma
Jason Geria,Australia,DEF,best score 64 < 85,Jackson Irvine,St Pauli
Fran Karacic,Australia,DEF,best score 45 < 85,Alessandro Circati,Parma
Kai Trewin,Australia,DEF,best score 47 < 85,Mathew Ryan,Levante
Lucas Herrington,Australia,DEF,best score 40 < 85,Jackson Irvine,St Pauli
Nestory Irankunda,Australia,FWD,best score 40 < 85,Mathew Ryan,Levante
Martin Boyle,Australia,FWD,best score 43 < 85,Mathew Ryan,Levante
Nishan Velupillay,Australia,FWD,best score 34 < 85,Alessandro Circati,Parma
Deni Juric,Australia,FWD,best score 36 < 85,Alessandro Circati,Parma
Jacob Italiano,Australia,DEF,best score 57 < 85,Jackson Irvine,St Pauli
Ante Suto,Australia,FWD,best score 47 < 85,Jackson Irvine,St Pauli
Paul Okon,Australia,MID,best score 45 < 85,Jackson Irvine,St Pauli
Patrick Yazbek,Australia,MID,best score 40 < 85,Mathew Ryan,Levante
Alex Robertson,Australia,MID,best score 43 < 85,Alessandro Circati,Parma
Aiden O'Neill,Australia,MID,best score 37 < 85,Jackson Irvine,St Pauli
Awer Mabil,Australia,MID,best score 45 < 85,Connor Metcalfe,St Pauli
Ajdin Hrustic,Australia,MID,best score 38 < 85,Alessandro Circati,Parma
Riley McGree,Australia,MID,best score 41 < 85,Mathew Ryan,Levante
Michael Svoboda,Austria,DEF,best score 60 < 85,Michael Gregoritsch,Augsburg
Marko Arnautovic,Austria,FWD,best score 51 < 85,Marco Grüll,Werder Bremen
Alessandro Schöpf,Austria,MID,best score 56 < 85,Alexander Prass,Hoffenheim
Florian Grillitsch,Austria,MID,best score 66 < 85,Florian Kainz,Köln
Paul Wanner,Austria,MID,best score 51 < 85,Christoph Baumgartner,RB Leipzig
Zeno Debast,Belgium,DEF,best score 52 < 85,Sebastiaan Bornauw,Leeds United
Brandon Mechele,Belgium,DEF,best score 46 < 85,Leander Dendoncker,Oviedo
Joaquin Seys,Belgium,DEF,best score 49 < 85,Sebastiaan Bornauw,Leeds United
Nicolas Raskin,Belgium,MID,best score 46 < 85,Matias Fernandez-Pardo,Lille
Amar Dedic,Bosnia-Herzegovina,DEF,best score 51 < 85,Tarik Muharemovic,Sassuolo
Nikola Katic,Bosnia-Herzegovina,DEF,best score 72 < 85,Nikola Vasilj,St Pauli
Stjepan Radeljic,Bosnia-Herzegovina,DEF,best score 46 < 85,Sead Kolašinac,Atalanta
Nihad Mujakic,Bosnia-Herzegovina,DEF,best score 50 < 85,Milan Đurić,Cremonese
Jovo Lukic,Bosnia-Herzegovina,FWD,best score 51 < 85,Tarik Muharemovic,Sassuolo
Esmir Bajraktarevic,Bosnia-Herzegovina,FWD,best score 50 < 85,Tarik Muharemovic,Sassuolo
Samed Bazdar,Bosnia-Herzegovina,FWD,best score 46 < 85,Sead Kolašinac,Atalanta
Kerim Alajbegovic,Bosnia-Herzegovina,FWD,best score 56 < 85,Haris Tabakovic,Gladbach
Amar Memic,Bosnia-Herzegovina,MID,best score 60 < 85,Tarik Muharemovic,Sassuolo
Dzenis Burnic,Bosnia-Herzegovina,MID,best score 66 < 85,Denis Huseinbasic,Köln
Ivan Sunjic,Bosnia-Herzegovina,MID,best score 63 < 85,Milan Đurić,Cremonese
Armin Gigovic,Bosnia-Herzegovina,MID,best score 66 < 85,Ermedin Demirović,Stuttgart
Ivan Basic,Bosnia-Herzegovina,MID,best score 74 < 85,Denis Huseinbasic,Köln
Benjamin Tahirovic,Bosnia-Herzegovina,MID,best score 62 < 85,Ermedin Demirović,Stuttgart
Amir Hadziahmetovic,Bosnia-Herzegovina,MID,best score 55 < 85,Tarik Muharemovic,Sassuolo
Ibañez,Brazil,DEF,best score 61 < 85,Giovane,Hellas Verona
Danilo,Brazil,DEF,best score 75 < 85,Evanilson,Bournemouth
Douglas Santos,Brazil,DEF,best score 72 < 85,Kauã Santos,Eintracht Frankfurt
Léo Pereira,Brazil,DEF,best score 58 < 85,Lorran,Pisa
Fabinho,Brazil,MID,best score 58 < 85,Marquinhos,Paris Saint-Germain
Danilo,Brazil,MID,best score 75 < 85,Evanilson,Bournemouth
João Paulo,Cape Verde,MID,best score 45 < 85,Logan Costa,Villarreal
Yannick Semedo,Cape Verde,MID,best score 31 < 85,Logan Costa,Villarreal
Kevin Pina,Cape Verde,MID,best score 28 < 85,Logan Costa,Villarreal
Steven Moreira,Cape Verde,DEF,best score 31 < 85,Logan Costa,Villarreal
Wagner Pina,Cape Verde,DEF,best score 36 < 85,Logan Costa,Villarreal
Pico,Cape Verde,DEF,best score 57 < 85,Logan Costa,Villarreal
Kelvin Pires,Cape Verde,DEF,best score 34 < 85,Logan Costa,Villarreal
Sidny Cabral,Cape Verde,DEF,best score 34 < 85,Logan Costa,Villarreal
Diney,Cape Verde,DEF,best score 28 < 85,Logan Costa,Villarreal
Ryan Mendes,Cape Verde,FWD,best score 36 < 85,Logan Costa,Villarreal
Jovane Cabral,Cape Verde,FWD,best score 50 < 85,Logan Costa,Villarreal
Dailon Livramento,Cape Verde,FWD,best score 40 < 85,Logan Costa,Villarreal
Nuno da Costa,Cape Verde,FWD,best score 66 < 85,Logan Costa,Villarreal
Garry Rodrigues,Cape Verde,FWD,best score 38 < 85,Logan Costa,Villarreal
Willy Semedo,Cape Verde,FWD,best score 26 < 85,Logan Costa,Villarreal
Telmo Arcanjo,Cape Verde,MID,best score 41 < 85,Logan Costa,Villarreal
Deroy Duarte,Cape Verde,MID,best score 26 < 85,Logan Costa,Villarreal
Laros Duarte,Cape Verde,MID,best score 43 < 85,Logan Costa,Villarreal
Richie Laryea,Canada,DEF,best score 45 < 85,Theo Bair,Auxerre
Joel Waterman,Canada,DEF,best score 49 < 85,Tani Oluwaseyi,Villarreal
Luc De Fougerolles,Canada,DEF,best score 44 < 85,Jacen Russell-Rowe,Toulouse
Cyle Larin,Canada,FWD,best score 42 < 85,Jacen Russell-Rowe,Toulouse
Liam Millar,Canada,FWD,best score 34 < 85,Jacen Russell-Rowe,Toulouse
Daniel Jebbison,Canada,FWD,best score 50 < 85,Moïse Bombito,Nice
Ali Ahmed,Canada,MID,best score 43 < 85,Tani Oluwaseyi,Villarreal
Ralph Priso,Canada,MID,best score 53 < 85,Alphonso Davies,Bayern Munich
Niko Sigur,Canada,MID,best score 42 < 85,Theo Bair,Auxerre
Nathan Saliba,Canada,MID,best score 66 < 85,Jonathan David,Juventus
Mathieu Choinière,Canada,MID,best score 50 < 85,Ismaël Koné,Sassuolo
Jonathan Osorio,Canada,MID,best score 69 < 85,Jonathan David,Juventus
Marcelo Flores,Canada,MID,best score 56 < 85,Ismaël Koné,Sassuolo
Kevin Castaño,Colombia,MID,best score 48 < 85,Duván Zapata,Torino
Richard Ríos,Colombia,MID,best score 46 < 85,Deiver Machado,Lens
Dávinson Sánchez,Colombia,DEF,best score 48 < 85,Nelson Deossa,Real Betis
Santiago Arias,Colombia,DEF,best score 63 < 85,Jhon Arias,Wolves
Jhon Córdoba,Colombia,FWD,best score 63 < 85,Jhon Arias,Wolves
Luis Suárez,Colombia,FWD,best score 70 < 85,Luis Díaz,Bayern Munich
Andrés Gómez,Colombia,FWD,best score 50 < 85,Daniel Muñoz,Crystal Palace
Gustavo Puerta,Colombia,MID,best score 48 < 85,Yerson Mosquera,Wolves
Jaminton Campaz,Colombia,MID,best score 50 < 85,Juan Cuadrado,Pisa
James Rodríguez,Colombia,MID,best score 44 < 85,Juan Arizala,Udinese
Jorge Carrascal,Colombia,MID,best score 56 < 85,Jhon Arias,Wolves
Aaron Wan-Bissaka,Congo DR,DEF,no FBref players from this country,,
Arthur Masuaku,Congo DR,DEF,no FBref players from this country,,
Chancel Mbemba,Congo DR,DEF,no FBref players from this country,,
Axel Tuanzebe,Congo DR,DEF,no FBref players from this country,,
Joris Kayembe,Congo DR,DEF,no FBref players from this country,,
Dylan Batubinsika,Congo DR,DEF,no FBref players from this country,,
Steve Kapuadi,Congo DR,DEF,no FBref players from this country,,
Yoane Wissa,Congo DR,FWD,no FBref players from this country,,
Simon Banza,Congo DR,FWD,no FBref players from this country,,
